"W tym arkuszu są wszystkie dane dotyczące bilansu energetycznego dobowego (24h), na podstawie których System wyliczy bilanse dla okna wieczornego i nocnego a także ilość energii potrzebnej do zasilania obwodów w czasie okna ładowania, niezbędnej do do właściwego wyliczenia ww. bilansów.",,,,,
,,,,,
,,,,,
,,,,,
,,,,,
DZIEŃ ROBOCZY,,,,,
okno dobowe,,,,,
odbiornik,rodzaj zużycia,ilość energii na godzinę zużycia ciągłego/godzinę oświetlenia/cykl (W/h),Zakres godzinowy cyklu (jeden zakres=jeden cykl),Zakres godzinowy oświetlenia,Uwagi
Falownik – zużycie własne,ciągłe,50,N/A,N/A,
oczyszczalnia,ciągłe,45,N/A,N/A,
Lodówki,ciągłe,90,N/A,N/A,
automatyka piwnica,ciągłe,15,N/A,N/A,
airfryer,cykliczne,200,16-17,N/A,
mikrofala,cykliczne,50,"04-05,16-17",N/A,
ekspres,cykliczne,60,"04-05, 06-07",N/A,
czajnik,cykliczne,80,"05-06, 16-17, 19-20",N/A,
zmywarka,cykliczne,1300,00-06,N/A,
oświetlenie,oświetlenie,80,N/A,"04:00-06:30, [16:00 lub na początku okna wieczornego, w zależności co nastąpi później]-22:30",
grzałki CWU,cykliczne CWU,wylicza system,N/A,N/A,
,,,,,
,,,,,
SOBOTA,,,,,
całe okno dobowe,,,,,
odbiornik,rodzaj zużycia,ilość energii na godzinę zużycia ciągłego/godzinę oświetlenia/cykl (W/h),Zakres godzinowy cyklu (jeden zakres=jeden cykl),Zakres godzinowy oświetlenia,
Falownik – zużycie własne,ciągłe,50,N/A,N/A,
oczyszczalnia,ciągłe,45,N/A,N/A,
Lodówki,ciągłe,90,N/A,N/A,
automatyka piwnica,ciągłe,15,N/A,N/A,
airfryer,cykliczne,300,19-20,N/A,
mikrofala,cykliczne,50,"06-07, 12-13",N/A,
ekspres,cykliczne,60,"06-07, 07-08, 12-13,12-13",N/A,zdublowany zakres oznacza 2  cykle
czajnik,cykliczne,80,"07-08, 10-11",N/A,
zmywarka,cykliczne,1300,00-06,N/A,
oświetlenie,oświetlenie,80,N/A,"06:30-08:00, od początku okna wieczornego – 00:00",
grzałki CWU,cykliczne CWU,wylicza system,wylicza system,N/A,
,,,,,
,,,,,
NIEDZIELA/ŚWIĘTA USTAWOWE,,,,,
całe okno dobowe,,,,,
odbiornik,rodzaj zużycia,ilość energii na godzinę zużycia ciągłego/godzinę oświetlenia/cykl (W/h),Zakres godzinowy cyklu (jeden zakres=jeden cykl),Zakres godzinowy oświetlenia,
Falownik – zużycie własne,ciągłe,50,N/A,N/A,
oczyszczalnia,ciągłe,45,N/A,N/A,
Lodówki,ciągłe,90,N/A,N/A,
automatyka piwnica,ciągłe,15,N/A,N/A,
airfryer,cykliczne,600,14-5,N/A,
mikrofala,cykliczne,50,"08-09, 12-13",N/A,
ekspres,cykliczne,60,"08-09, 09-10, 12-13,12-13",N/A,
czajnik,cykliczne,80,"08-09, 15-16, 19-20",N/A,
zmywarka,cykliczne,1300,00-06,N/A,
oświetlenie,oświetlenie,80,N/A,"07:00-08:00, od początku okna wieczornego – 00:00",
grzałki CWU,cykliczne CWU,wylicza system,wylicza system,N/A,